ID,DBSN,PID,SID,AnnotationID,ST,ET,Speech
1,1,40,0,0f3f3bbac43c47e7b4faef2e9f3c567f,177250,179200,turn on the burner under the water
2,2,40,1,c74a832406a34061bd01311e836bb6c1,190550,193300,"Baxster, put the lid on the water"
3,3,40,2,c471c2e7a6c14c668e32fe008270edda,228250,229300,pick up an onion
4,4,40,3,00413bb390ed41f8bb806db52315709b,234450,237300,turn around and put it on the chopping board
5,5,40,4,4b345603190e42bd831f71050d488887,253600,254750,pick up a carrot
6,6,40,5,42385d5d9edf4ea5ac8a5d8ff7c9b7d3,261700,263700,turn around and put it on the cutting board
7,7,40,6,8f9a8df2149c4d80b653a813c6959ddd,275900,277150,and chop the onion
8,8,40,7,388b8bdc45c9409885d05888e5a4afe7,288050,289900,"alright Baxster, pick up the tomato"
9,9,40,8,0a164c7ae03a47f6bb378d4d5e783fc9,292150,293900,Baxster pick up the tomato
10,10,40,9,f9cb8c694efc4a5a9b4423ea16bac80e,298450,300200,Baxster pick up the tomato
11,11,40,10,99f8e7cd44564d5dab4af0eddbf06248,303650,305150,now chop the tomato
12,12,40,11,1ec906554edf4391be2d96e198d26331,321950,326650,now turn on the burner under the uh that saucepan
13,13,40,12,b15273da601c44eeb13b97f5f3e26fd4,354600,357350,and pour some into the saucepan
14,14,40,13,811f0bda36764bde90f21c42a54f73af,387200,389400,now dump the vegetables into the saucepan
15,15,40,14,c194c200b8d14d96876bce706fb82d97,400050,403250,"uh Baxster, go salt the vegetables"
16,16,40,15,e390f7eca4be46ab85b06be555d46874,436000,438850,and grind some pepper onto the vegetables
17,17,40,16,d41405bddf3a4f048b0ecb09ac11bb70,451950,454750,"alright Baxster, stir the vegetables with the spoon"
18,18,40,17,48fde40b5da84522be0f3733ca18c07b,487400,491000,"ok Baxster, pick up the potato and chop it"
19,19,40,18,95202130249e401f9c56597e9b06eb42,494600,497150,"Baxster, pick up the, pick up the potato"
20,20,40,19,9ef2dc501a1c48ef8b24414dc8aee2d2,504200,505250,now chop it
21,21,40,20,612e7fdd102543438b71fcb6d17d8b19,523750,525550,"alright Baxster, pick up the carrot"
22,22,40,21,fcb2790ecf8b412b88c53a4983fc3884,534400,536540,"Baxster, put down the carrot"
23,23,40,22,06d8dd5d8cbd45f8a22e024c4ebaa182,550000,557170,"alright Baxster, uh, chop the green onion"
24,24,40,23,7269af680d1e42bc956a1dd28060a4b0,576350,579550,"alright Baxster, take the lid off the boiling water"
25,25,40,24,ce07ee532a5b4653981d6c04001067ab,611250,616350,ok Baxster take all the vegetables on the board and put them into the boiling water
26,26,40,25,ed60921fb4d945dda2e2294e4f57bb18,648450,649250,ok
27,26,40,26,82c8979a68ac49edb23de8deac96f59e,649650,654050,"Baxster, go to the sauteeing vegetables and turn off the burner"
28,27,40,27,fda1ab5fb53148eea843b4361282f326,676650,681250,"ok Baxster, pick up the vegetables on the left burner"
29,27,40,28,29887bd309db454abebd4737d5ee5ef2,681650,684300,and dump them into the boiling water
30,28,40,29,1284c3edc78b4e5c8bd23e9c7b071f32,721150,723050,now dump them into the boiling water
31,29,40,30,90f8af3bca1c49c38a240f197d07a4ba,741400,743000,ok Baxster turn around
32,30,40,31,f5f1f5f310694e77a4c51b431e7bde36,745100,746250,turn around
33,31,40,32,6095efd8afb944fc93038d5f4db04141,750450,751450,turn around
34,32,40,33,fa0399f7f5574aecbc9d910ee650550f,756400,757800,pick up the spoon
35,32,40,34,aca3feb86ab84ab2a388d8c5ef6b5287,758700,760300,and stir pot
36,33,40,35,76e8fe69175041b0b9b21ae7317e1ac1,782700,785200,now put it onto the pot
37,34,40,36,4fdec8ff26b249d88252ee9a3e02afeb,805500,807050,now turn off the right burner
38,35,40,37,1798eded0c5b402ba8b43967abb2cb51,818450,822780,"Baxster, turn around and take the lid off the pot"
39,36,40,38,d74bde5abb7b47368df1f7e54a63b158,857750,860300,now serve some soup into the bowl
40,218,45,0,4acda9fd5c2b41eb8aef5dafc0446e7f,229800,232200,turn on the bottom right burner
41,219,45,1,acfadef6b73b48eba1b312f14fb21b7a,243700,246750,now put the lid on the pot
42,220,45,2,5126e8fb7b304aa3bbdae3fdb779a5a1,293600,295600,pick up the onion
43,221,45,3,1b23347795274c0b9d71e0500ee2e26f,323250,324850,pick up the carrot
44,222,45,4,943032ae97d74ba5a85352e71403b9b4,339050,341750,now we're going to dice the onion
45,223,45,5,26a41dc3b26b4571aca9f765bfbf595a,357300,359950,now we're going to dice the tomato
46,224,45,6,b2cfeb2ef35d4a5db3a0d7103684ac9c,362600,364350,cut the tomato
47,225,45,7,add735ab54034daa97a694ee739501e0,367800,371750,cut the tomato into many small pieces
48,226,45,8,02f0cde86df745068f29f48345c103a0,375950,378600,so pick up the tomato
49,227,45,9,847a1e0e516040c8909d3dfc5e5f162c,410150,413400,turn the bottom left burner on
50,228,45,10,13cd45b09b414c778133047e0bde90e4,425400,429350,now we're going to put oil on the frying pan
51,229,45,11,af8bc25d353f407cb48e6f4cabfb0c32,473500,477550,and put the vegetables into the pan
52,230,45,12,f5f83c961a244b15b2cb8dc9b7233fd2,508150,510850,pick up the salt shaker to your left
53,231,45,13,9c5e1fdd91914c6e80850ff45acf6a1c,531300,533050,pick up the pepper
54,232,45,14,332afdd6d5254a10a20cac0944084464,551050,555050,now we're going to stir the vegetables in the frying pan
55,233,45,15,a1b6fb0a3f324e389b5e027585488c53,587200,589950,now you're going to dice a potati
56,234,45,16,836093e377ff44b993dc74bd82cba25d,591550,595960,now you're going to cut a potato into small pieces
57,235,45,17,b1cd93ba892d4eb9b92a7d52fed9fc4e,615500,619170,now you're going to cut the carrot into small pieces
58,236,45,18,dce1e90c288340d48937f33caf1e6603,638650,642450,now you're going to cut the celery into small pieces
59,237,45,19,37459f6ea8264fd194f0637286c97f18,667600,669800,take the lid off of the pot
60,238,45,20,7350bb2de25c476ea920f34a3bea2b6e,702000,704700,add the vegetables into the pot
61,239,45,21,1c4d602e78f64e188e29eccffe9ef057,732650,734750,turn off the bottom left burner
62,240,45,22,c56b398ac0e74204af81fa2c6694ff95,743550,748700,now you're going to add the vegetables in the frying pan into the pot
63,241,45,23,01584dd489074eefacdb1b1daab112f0,779750,781350,and pour it into the pot
64,242,45,24,591cf0ce766942d7b942309ca3ebbbb7,798150,800450,now you're going to stir the pot
65,243,45,25,fc9cfa6b93c54b31b728b0da3b02eab7,803500,805900,now you're going to mix the pot
66,244,45,26,25de7784c0a8486788f2eacf8717aaf0,827600,830650,now you're going to put the lid back on the pot
67,245,45,27,3f0f8ae1b25b46319bcd2c8e39ff751e,851750,855100,"ok, now you're going to turn off the stove"
68,246,45,28,071415b0a3ee494eb6d6fe9fa8408af9,868250,871150,now you're going to take the lid off of the pot
69,247,45,29,dc5c979390e44ea6a73d8f8e18e11402,885650,889500,"um, scoop some of the soup into a bowl"
70,248,49,0,2f9721a86b05450784d3c1b66c400e4b,205150,208800,"alright, so we're going to be turning on one of the burners on the oven"
71,249,49,1,9b06b479d520447c8062932b1ff7ac92,210450,212350,so go to the oven
72,250,49,2,95c320b2e20248e1ac218a9ebbbecdd4,214850,219150,and rotate the burner to turn the burner on
73,251,49,3,9a3169400f214aec82be194ba990afbb,232900,235250,ok so we're going to be putting a lid on the pot
74,252,49,4,eb003d963f0340abb0edb041924969b1,236850,238250,so go to the oven
75,253,49,5,fafef2fed2d44e3c8a18cdd712670c8e,240000,243250,"uh grab the pot, the lid, grab the lid"
76,254,49,6,e159e3e5f6ac4c2a8fedc8c331a2f9c8,245050,249650,"uh lift the lid and put it over the pot with the water in it, there we go"
77,255,49,7,4d2b69e8c6f44edf92b52823f274dfc4,256500,260300,"ok, uh, so we are putting an onion on the cutting board"
78,256,49,8,5bbfa27f03994bda92dca2ea42288953,262450,264350,alright so go to the table
79,257,49,9,61a85a719eb44b8285868320911e1c8e,269450,271950,"oh uh, grab the onion, which is like"
80,257,49,10,01d14ce26fed431cb3c686e7a1c79d3e,272500,275300,"uh, it's at the front of the table right there, there we go"
81,258,49,11,3e165f76bd714aef919d6efca23b16fb,275600,280400,and then go back to the cutting board and place the onion on the cutting board
82,259,49,12,a2386504cf474963a57ec86203f89d57,288350,290900,alright now we are placing a carrot on the cutting board
83,260,49,13,7948c91daef94b6ca699d9b719964224,295300,296900,uh grab the carrot
84,261,49,14,098022ce4e6d4d1fa081dddb3fc87386,299350,301200,and lift it up
85,262,49,15,09e688206e8d40f2b423e186962d5d91,302900,304600,go back to the cutting board
86,263,49,16,14017d13d8b54d3cadf998026efd265c,313000,315550,ok so now we are going to chop up the onion
87,264,49,17,b25eba72c49d44f18c9fbdad0da257a4,317950,319050,so grab the knife
88,264,49,18,de61c22f9bb64c069153663572d1729b,320550,321500,lift the knife
89,264,49,19,be37e66bdd584c79ae046428cd0f6f4c,322250,325400,"and bring it over and chop the knife, err onion"
90,264,49,20,33d4f70a72a74818bb73dbe844d57b86,326050,326800,chop the onion
91,265,49,21,9ca5ebc010454223ac016f53129dee81,333000,335250,ok now we are going to chop the tomato
92,266,49,22,3ba15c3fc7bd47638eb4e5b9e89d360d,337000,340950,uh we're going to take the tomato and cut the tomato on the cutting board
93,267,49,23,bda4c182d07f4f9e9e4e2a6e90443d40,343200,345350,so grab the tomato
94,267,49,24,a2a9454d4b9e4993a2ac3d77b5380a02,346400,349700,"right there yeah, lift the tomato and put it on the board"
95,268,49,25,a2a9454d4b9e4993a2ac3d77b5380a02,346400,349700,"right there yeah, lift the tomato and put it on the board"
96,268,49,26,186d27ce2f6b4d40bc4d981998e4912d,350000,351050,grab the knife
97,269,49,27,186d27ce2f6b4d40bc4d981998e4912d,350000,351050,grab the knife
98,269,49,28,0c42148027784599bc1b2c95e6a04367,351500,352450,lift the knife
